email,points_total,points_wallet,tier
carice_van_houten@gameofthron.es,829341,207335,Silver
mark_stanley@gameofthron.es,37041,7408,Silver
art_parkinson@gameofthron.es,784606,392303,Silver
esme_bianco@gameofthron.es,447069,223535,Silver
hafthór_júlíus_björnsson@gameofthron.es,498905,124726,Silver
dominic_carter@gameofthron.es,734054,734054,Silver
kristian_nairn@gameofthron.es,979762,244941,Silver
nell_tiger_free@gameofthron.es,554970,138743,Silver
donald_sumpter@gameofthron.es,306128,61226,Silver
ron_donachie@gameofthron.es,691770,230590,Silver
eugene_simon@gameofthron.es,903412,903412,Silver
amrita_acharia@gameofthron.es,331518,110506,Silver
ian_mcelhinney@gameofthron.es,428641,428641,Silver
ian_gelder@gameofthron.es,880463,220116,Silver
roxanne_mckee@gameofthron.es,913367,913367,Silver
tom_wlaschiha@gameofthron.es,806067,161213,Silver
michael_mcelhatton@gameofthron.es,712946,237649,Silver
julian_glover@gameofthron.es,729666,364833,Silver
ian_beattie@gameofthron.es,829971,414986,Silver
finn_jones@gameofthron.es,41975,8395,Silver
ben_hawkey@gameofthron.es,919040,229760,Silver
richard_dormer@gameofthron.es,760838,380419,Silver
brian_fortune@gameofthron.es,227457,75819,Silver
daniel_portman@gameofthron.es,860359,286786,Silver
gemma_whelan@gameofthron.es,576875,144219,Silver
ben_crompton@gameofthron.es,138273,46091,Silver
tara_fitzgerald@gameofthron.es,715873,143175,Silver
jacob_anderson@gameofthron.es,310174,310174,Silver
anton_lesser@gameofthron.es,742440,247480,Silver
diana_rigg@gameofthron.es,371490,185745,Silver
kerry_ingram@gameofthron.es,391027,97757,Silver
ellie_kendrick@gameofthron.es,78367,15673,Silver
peter_vaughan@gameofthron.es,604767,604767,Silver
josef_altin@gameofthron.es,243760,121880,Silver
owen_teale@gameofthron.es,88378,17676,Silver
thomas_brodie-sangster@gameofthron.es,532844,266422,Silver
greg_powell@fakegmail.com,407562,407562,Silver
sarah_lewis@fakegmail.com,824644,164929,Silver
luke_barnes@gameofthron.es,160328,160328,Silver
emily_ellis@fakegmail.com,469838,117460,Silver
victor_patel@fakegmail.com,867965,867965,Silver
karina_martin@fakegmail.com,112758,28190,Silver
robert_jordan@fakegmail.com,128847,42949,Silver
roger_ashton-griffiths@gameofthron.es,271252,135626,Silver
ronald_cox@fakegmail.com,311671,311671,Silver
paul_kaye@gameofthron.es,454847,227424,Silver
faye_marsay@gameofthron.es,22891,4578,Silver
brenock_o'connor@gameofthron.es,801111,801111,Silver
michael_condron@gameofthron.es,439425,109856,Silver
richard_davis@fakegmail.com,915945,915945,Silver
lisa_rasmussen@fakegmail.com,34923,11641,Silver
cameron_duran@fakegmail.com,857339,171468,Silver
connie_johnson@fakegmail.com,370285,123428,Silver
victor_fleming@fakegmail.com,54277,13569,Silver
brandon_hardy@fakegmail.com,97445,24361,Silver
kathryn_sosa@fakegmail.com,754069,251356,Silver
mrs._ariana_nunez@fakegmail.com,623715,311858,Silver
megan_richards@fakegmail.com,964334,192867,Silver
yvette_roth@fakegmail.com,270710,90237,Silver
kelsey_smith@fakegmail.com,249892,249892,Silver
keith_phillips@fakegmail.com,395806,131935,Silver
morgan_smith@fakegmail.com,66282,66282,Silver
jason_smith@fakegmail.com,934336,186867,Silver
megan_turner@fakegmail.com,500910,125228,Silver
amy_phillips@fakegmail.com,787274,787274,Silver
garrett_obrien@fakegmail.com,38211,38211,Silver
lori_franklin@fakegmail.com,989731,329910,Silver
daniel_simmons@fakegmail.com,208109,104055,Silver
kenneth_chandler@fakegmail.com,48025,48025,Silver
paula_sullivan@fakegmail.com,872563,290854,Silver
brenda_martin@fakegmail.com,724785,241595,Silver
javier_smith@fakegmail.com,951895,317298,Silver
anthony_thompson@fakegmail.com,189915,47479,Silver
joshua_kent@fakegmail.com,882747,882747,Silver
thomas_buckley@fakegmail.com,420065,140022,Silver
richard_schmidt@fakegmail.com,53736,13434,Silver
anthony_smith@fakegmail.com,894242,298081,Silver
michael_day@fakegmail.com,454053,90811,Silver
mercedes_tyler@fakegmail.com,250400,250400,Silver
kristen_schmidt@fakegmail.com,848357,169671,Silver
john_roman@fakegmail.com,787724,157545,Silver
justin_williams@fakegmail.com,218323,43665,Silver
april_cole@fakegmail.com,836859,167372,Silver
kimberly_gates@fakegmail.com,402820,201410,Silver
andrea_le@fakegmail.com,609108,609108,Silver
patricia_good@fakegmail.com,122754,30689,Silver
barbara_gonzalez@fakegmail.com,44221,8844,Silver
denise_bryant@fakegmail.com,871607,217902,Silver
victoria_sanders@fakegmail.com,664957,166239,Silver
taylor_scott@fakegmail.com,644595,128919,Silver
taylor_hill@fakegmail.com,405497,202749,Silver
melissa_jones@fakegmail.com,11417,2854,Silver
amy_ramirez@fakegmail.com,125842,41947,Silver
christopher_robinson@fakegmail.com,32960,8240,Silver
phillip_collins@fakegmail.com,603906,120781,Silver
edward_barrett@fakegmail.com,602701,602701,Silver
lisa_russo@fakegmail.com,937347,234337,Silver
thomas_morris@fakegmail.com,261675,65419,Silver
ms._cathy_miller@fakegmail.com,823506,274502,Silver
elizabeth_wiggins@fakegmail.com,299691,59938,Silver
lisa_silva@fakegmail.com,585507,117101,Silver
nicholas_webster@fakegmail.com,328813,82203,Silver
teresa_thomas@fakegmail.com,555871,185290,Silver
catherine_romero@fakegmail.com,521251,173750,Silver
michael_moore@fakegmail.com,264405,132203,Silver
christian_williams@fakegmail.com,717067,239022,Silver
jason_hernandez@fakegmail.com,236401,118201,Silver
denise_davidson@fakegmail.com,917670,917670,Silver
julia_nichols@fakegmail.com,564357,282179,Silver
heather_leonard@fakegmail.com,417756,208878,Silver
melissa_young@fakegmail.com,382306,191153,Silver
john_rice@fakegmail.com,92771,46386,Silver
blake_sellers@fakegmail.com,98598,49299,Silver
theresa_holmes@fakegmail.com,953901,476951,Silver
bradley_brooks@fakegmail.com,862238,431119,Silver
thomas_green@fakegmail.com,945350,945350,Silver
jonathon_mccullough@fakegmail.com,632841,126568,Silver
jerry_cabrera@fakegmail.com,998842,332947,Silver
jamie_santana@fakegmail.com,15383,3077,Silver
mary_mitchell@fakegmail.com,757125,252375,Silver
lori_blankenship@fakegmail.com,393159,98290,Silver
deborah_kennedy@fakegmail.com,708578,141716,Silver
paul_bailey@fakegmail.com,81747,27249,Silver
john_bishop@fakegmail.com,87902,87902,Silver
yolanda_owen@fakegmail.com,209542,52386,Silver
nichole_miller@fakegmail.com,61299,61299,Silver
nicholas_johnson@fakegmail.com,708229,236076,Silver
desiree_pierce@fakegmail.com,447206,111802,Silver
connie_barton@fakegmail.com,934306,311435,Silver
anthony_cline@fakegmail.com,421413,84283,Silver
donna_russell@fakegmail.com,852408,426204,Silver
blake_fitzgerald@fakegmail.com,115132,38377,Silver
shawn_mccormick@fakegmail.com,225350,112675,Silver
anthony_hurst@fakegmail.com,664729,664729,Silver
patrick_knight@fakegmail.com,287900,143950,Silver
ashlee_hart@fakegmail.com,137174,27435,Silver
magicz@cats.com,54179,54179,Silver
foobaz@bar.com,147268,147268,Silver
eric_navarro@fakegmail.com,958557,191711,Silver
donna_smith@fakegmail.com,245313,81771,Silver
jose_hall@fakegmail.com,878644,292881,Silver
jeffrey_roberts@fakegmail.com,496826,124207,Silver
jordan_medina@fakegmail.com,695384,347692,Silver
jennifer_frazier@fakegmail.com,335727,111909,Silver
